,Player,Player.1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
3,"394Harrison ReedFulham, 29, D(R),M(CR)","Harrison Reed Fulham, 29, D(R),M(CR)",12(9),1075,1,0.4,0.9,-,0.9,0.7,0.4,-,6.31
4,"395Jesurun Rak-SakyiCrystal Palace, 21, AM(R)","Jesurun Rak-Sakyi Crystal Palace, 21, AM(R)",0(6),133,0.7,0.5,0.2,-,0.2,0.2,-,-,6.31
5,"396Michael ObafemiBurnley, 23, FW","Michael Obafemi Burnley, 23, FW",0(2),19,-,-,-,-,-,-,-,-,6.31
6,"397Shandon BaptisteBrentford, 25, AM(C)","Shandon Baptiste Brentford, 25, AM(C)",2(7),215,0.4,0.3,0.2,-,0.6,0.4,0.1,-,6.3
7,"398Hamed TraorèBournemouth, 24, AM(CLR)","Hamed Traorè Bournemouth, 24, AM(CLR)",0(3),45,0.3,-,-,-,-,0.7,-,-,6.3
8,"399Loris KariusNewcastle, 30, GK","Loris Karius Newcastle, 30, GK",1,90,-,-,-,-,1,-,-,-,6.29
9,"400Stefan OrtegaMan City, 31, GK","Stefan Ortega Man City, 31, GK",1(1),172,-,-,-,-,-,-,-,-,6.29
0,"401Joe WorrallNottingham Forest, 27, D(C)","Joe Worrall Nottingham Forest, 27, D(C)",5(2),440,1,0.4,0.4,0.6,4.4,0.4,0.6,-,6.28
1,"402Ansu FatiBrighton, 21, AM(L),FW","Ansu Fati Brighton, 21, AM(L),FW",2(12),413,0.2,0.1,0.4,-,0.1,0.5,-,-,6.28
2,"403Lewis DobbinEverton, 21, AM(CLR)","Lewis Dobbin Everton, 21, AM(CLR)",1(9),177,0.6,0.1,0.2,-,-,0.4,0.1,-,6.28
3,"404Jhon DuránAston Villa, 20, FW","Jhon Durán Aston Villa, 20, FW",0(14),174,0.2,-,0.6,0.1,0.4,0.2,-,-,6.28
4,"405Jason SteeleBrighton, 33, GK","Jason Steele Brighton, 33, GK",15,1350,-,-,-,-,0.6,0.2,-,-,6.28
5,"406Tahith ChongLuton, 24, AM(CLR),FW","Tahith Chong Luton, 24, AM(CLR),FW",9(12),1028,1,0.2,0.5,-,0.1,0.4,0.1,-,6.28
6,"407Robin OlsenAston Villa, 34, GK","Robin Olsen Aston Villa, 34, GK",1,90,-,-,-,-,-,-,-,-,6.28
7,"408Sergio GómezMan City, 23, D(L)","Sergio Gómez Man City, 23, D(L)",0(3),18,-,0.3,0.3,-,-,-,-,-,6.28
8,"409David BrooksBournemouth, 26, AM(CR)","David Brooks Bournemouth, 26, AM(CR)",2(11),273,0.4,0.2,0.5,-,0.2,0.2,-,-,6.28
9,"410Ryan GilesLuton, 24, D(L),M(LR)","Ryan Giles Luton, 24, D(L),M(LR)",5(6),501,0.7,0.4,0.2,0.1,1.8,0.5,-,-,6.28
0,"411Hugo BuenoWolves, 21, D(L)","Hugo Bueno Wolves, 21, D(L)",4(10),425,1.2,0.3,0.4,0.1,0.9,0.4,0.1,1,6.27
